Name,Description,ID,Track,Priority,Status,Ready,Type,Owner,Hours,Flags,Depends On,Related,Parent
Build: Landing page,Production landing page from DE2 on the scaffold.,pbh-bws.20,Build: Funnel,P2,Open,No,Feature,Mark,,agentic,"pbh-bws.2, pbh-bws.4, pbh-bws.16",,pbh-bws
Build: Account creation + consent capture,Account + versioned consent capture; writes to schema.,pbh-bws.21,Build: Funnel,P1,Open,No,Feature,Mark,,agentic,"pbh-bws.4, pbh-bws.8, pbh-bws.17",,pbh-bws
Build: Stripe Payment Element + HSA/FSA,Payment step inside SAQ-A boundary; HSA/FSA support.,pbh-bws.22,Build: Funnel,P1,Open,No,Feature,Mark,,"agentic, seam","pbh-bws.3, pbh-bws.4, pbh-bws.9, pbh-bws.17, pbh-bws.39",,pbh-bws
Build: Confirmation page,Receipt + next-steps + begin-assessment CTA.,pbh-bws.23,Build: Funnel,P2,Open,No,Feature,Mark,,agentic,"pbh-bws.18, pbh-bws.21, pbh-bws.22",,pbh-bws
Build: Signed-token handoff endpoint + redirect,The redirect/token endpoint to the wellness app. Highest-stakes seam; elevated SLA post-launch.,pbh-bws.24,Build: Funnel,P0,Open,No,Feature,Mark,,"agentic, seam","pbh-bws.5, pbh-bws.8, pbh-bws.21",,pbh-bws
Build: GA4 events + measurement plan,Funnel event instrumentation.,pbh-bws.25,Build: Integrations,P2,Open,No,Feature,Mark,,agentic,pbh-bws.20,,pbh-bws
Build: HubSpot lifecycle integration,Lead/lifecycle sync to HubSpot.,pbh-bws.26,Build: Integrations,P2,Open,No,Feature,Mark,,agentic,pbh-bws.21,,pbh-bws
Build: Transactional email (Resend) + templates,React Email + Resend; receipt + resume-link emails.,pbh-bws.27,Build: Integrations,P2,Open,No,Feature,Mark,,agentic,"pbh-bws.5, pbh-bws.23, pbh-bws.38",,pbh-bws
Build: Webhook hardening + audit-log write path,Stripe payment_succeeded/failed handlers; audit-log writes; idempotency.,pbh-bws.28,Build: Integrations,P1,Open,No,Feature,Mark,,"agentic, seam","pbh-bws.5, pbh-bws.22",,pbh-bws
QA: E2E Playwright + live-mode payment + refund flow,End-to-end suite incl. live-mode payment test and refund path.,pbh-bws.29,QA / Launch,P1,Open,No,Task,Mark,,agentic,"pbh-bws.23, pbh-bws.24, pbh-bws.28",,pbh-bws
QA: webhook chaos + light load test,Webhook failure injection; light load test.,pbh-bws.30,QA / Launch,P2,Open,No,Task,Mark,,agentic,pbh-bws.28,,pbh-bws
QA: WCAG 2.1 AA audit + Lighthouse,axe + manual + screen reader; Lighthouse; email-rendering QA; real-device mobile.,pbh-bws.31,QA / Launch,P1,Open,No,Task,Matt,,,"pbh-bws.20, pbh-bws.23",,pbh-bws
UAT,User acceptance testing pass.,pbh-bws.32,QA / Launch,P1,Open,No,Task,Matt,,gate,"pbh-bws.29, pbh-bws.30, pbh-bws.31",,pbh-bws
MVP go-live (Aug 14),Gating commitment. Live funnel + PCI SAQ-A docs filed + WCAG statement.,pbh-bws.33,QA / Launch,P0,Open,No,Task,Mark,,gate,"pbh-bws.14, pbh-bws.32",,pbh-bws
Hypercare (Aug 17-18),Two-day soft-launch hypercare; engineer on call; specialist on standby.,pbh-bws.34,QA / Launch,P1,Open,No,Task,Mark,,,pbh-bws.33,,pbh-bws
"IA workshop - funnel IA, navigation, page hierarchy","Joint workshop with PBH + Mark + Matt. Lock funnel IA, navigation, page hierarchy. Output: IA decision doc with Arian's notes/sketches. Discovery-phase, Week 1.",pbh-bws.35,Design,P1,Open,No,Task,Arian,4,,pbh-bws.6,,pbh-bws
Cookie consent banner design (Figma),"GDPR/CCPA banner: accept/decline/preferences. Copy treatment, button hierarchy, brand fit, mobile + desktop. 1 revision round.",pbh-bws.36,Design,P1,Open,No,Task,Arian,4,,pbh-bws.15,,pbh-bws
Footer rebuild design (Figma),"Phase 1 footer: legal, compliance, contact, wellness-vs-medical statement, social. 2 revision rounds.",pbh-bws.37,Design,P1,Open,No,Task,Arian,4,,pbh-bws.15,,pbh-bws
Email templates design x4 (Figma),"Responsive email design, 4 templates: receipt (HSA/FSA), abandonment 1h, abandonment 24h, resume link. Mobile + desktop. 2 revision rounds. Built code-first by Mark/Tuily from these.",pbh-bws.38,Design,P1,Open,No,Task,Arian,8,,pbh-bws.15,,pbh-bws
Stripe Appearance API tokens (brand values),"JSON of Stripe Appearance tokens (colors, fonts, radius, spacing) so the Payment Element matches brand. Arian provides values; Mark wires into .22.",pbh-bws.39,Design,P2,Open,No,Task,Arian,2,seam,pbh-bws.15,,pbh-bws
Design QA during build (staging walkthroughs),Staging walkthroughs against Figma. Flag spacing/color/type/motion drift. Loom comments per page. Arian flags; Mark closes.,pbh-bws.40,Design,P2,Open,No,Task,Arian,8,,pbh-bws.19,,pbh-bws
